1,:,10,12,16,23,25,27,33,40,43,45,69,75,86,90,98,@,626783366
2,:,1,5,21,34,49,53,54,67,76,77,91,92,94,98,99,@,747415687
3,:,8,13,14,28,34,39,44,46,61,64,67,82,83,90,93,@,125510456
4,:,1,5,9,13,25,26,28,29,38,49,60,63,65,73,99,@,766440248
5,:,5,6,13,18,26,34,66,68,73,75,76,81,82,84,99,@,030576302
6,:,3,14,17,26,31,46,56,61,69,74,75,79,87,92,93,@,721601046
7,:,6,18,27,40,47,55,57,60,62,63,70,73,83,87,88,@,399143904
8,:,6,18,24,28,36,41,42,45,55,62,65,70,78,85,99,@,389737291
9,:,2,8,13,18,25,27,31,42,50,74,78,79,88,91,95,@,516234393
10,:,1,7,10,16,18,21,37,39,44,49,57,58,66,78,79,@,213957540
11,:,5,13,17,22,23,24,27,41,42,43,52,66,79,93,98,@,277052231
12,:,12,22,31,36,43,46,47,53,55,60,63,67,74,89,90,@,411221730
13,:,1,2,4,6,24,31,34,36,55,66,67,69,81,82,87,@,942680070
14,:,11,15,18,24,26,29,35,42,44,47,51,62,64,69,94,@,266709462
15,:,4,7,9,21,22,24,31,32,39,47,52,55,79,89,100,@,984842760
16,:,2,3,11,12,14,20,23,34,39,46,47,54,57,58,59,@,204537261
17,:,15,25,30,36,38,43,47,54,55,63,65,72,76,82,98,@,774268959
18,:,10,14,15,20,22,26,29,37,41,49,56,73,79,84,94,@,412199066
19,:,6,10,20,34,44,46,56,62,65,66,74,79,86,96,99,@,404272736
20,:,2,8,9,11,21,45,61,63,64,72,75,83,84,89,99,@,584233472
21,:,2,3,5,7,13,32,45,52,58,59,70,72,77,79,92,@,468096986
22,:,16,40,47,56,59,60,62,63,75,77,82,89,91,97,98,@,925593693
23,:,9,10,11,18,32,37,42,47,58,76,80,84,89,93,97,@,897725696
24,:,5,6,20,33,37,38,45,46,48,49,54,77,88,93,99,@,887984867
25,:,11,12,20,24,25,36,38,56,58,66,72,75,80,95,99,@,160651765
26,:,3,7,16,19,22,33,61,62,68,76,84,92,94,98,99,@,084272590
27,:,6,7,13,27,29,42,43,46,54,55,58,65,74,83,85,@,971461451
28,:,1,4,7,11,27,29,35,40,43,48,52,58,70,83,89,@,417914510
29,:,5,17,26,28,39,40,60,63,68,69,72,77,82,89,90,@,527785548
30,:,1,12,14,25,29,37,42,44,76,77,78,85,86,88,100,@,127792388
31,:,1,29,39,43,47,48,50,56,58,72,73,76,83,86,95,@,980394654
32,:,16,24,35,51,55,57,59,69,70,71,72,77,85,92,99,@,445394552
33,:,3,8,14,20,24,29,34,39,43,44,45,56,64,71,98,@,442727856
34,:,2,9,21,39,44,50,51,54,60,65,67,71,87,90,100,@,955776263
35,:,4,6,32,34,35,36,38,41,45,50,51,62,67,81,95,@,569679856
36,:,8,11,19,22,23,37,51,53,55,61,62,63,67,72,90,@,305633176
37,:,6,11,20,21,22,31,35,42,43,60,72,73,77,86,92,@,455169499
38,:,4,16,19,32,34,35,38,45,46,59,64,77,89,91,93,@,765689973
39,:,6,14,17,29,31,37,51,68,79,85,89,91,95,98,99,@,694745483
40,:,2,6,14,32,35,36,37,49,50,51,57,64,75,85,91,@,879136361
41,:,3,8,10,15,24,29,38,50,51,53,62,64,72,84,97,@,983564691
42,:,5,9,15,16,19,22,25,27,49,53,54,70,73,83,90,@,294230583
43,:,13,16,18,22,23,28,30,31,41,46,67,68,79,94,99,@,831669319
44,:,2,19,20,34,36,38,39,48,49,54,57,79,86,91,96,@,737594452
45,:,6,11,17,19,20,26,38,49,51,73,75,83,85,86,100,@,196201142
46,:,4,5,6,12,15,27,37,40,51,57,70,74,82,97,100,@,434478911
47,:,12,34,40,56,61,67,71,78,85,87,91,92,96,99,100,@,138337240
48,:,9,11,14,25,27,32,42,61,65,69,76,81,93,94,100,@,269835119
49,:,1,7,15,17,26,37,46,49,52,56,67,69,70,71,72,@,450151035
50,:,1,5,9,12,17,21,33,34,37,64,67,68,70,81,90,@,707523429
51,:,20,30,33,39,43,46,49,53,56,57,70,73,86,91,94,@,011357944
52,:,21,26,40,48,53,55,58,73,77,81,87,94,95,96,98,@,555573178
53,:,2,27,31,36,37,42,43,48,52,60,71,81,84,86,99,@,265470519
54,:,9,12,33,43,50,52,58,59,69,70,75,78,80,94,100,@,135153688
55,:,1,2,4,8,21,23,37,40,42,43,60,65,82,93,95,@,967183063
56,:,12,29,31,37,49,50,53,66,71,76,77,80,82,97,98,@,027672730
57,:,4,10,31,32,33,36,40,50,53,68,74,76,87,88,100,@,021025117
